task id,run #,individual,model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
190146,8,0.8705882352941177,0.8705882352941177,0.8705882352941177,0.8588235294117647,0.8705882352941177,0.8588235294117647,0.8588235294117647,0.8588235294117647,0.8705882352941177
168784,1,0.8512820512820513,0.8461538461538461,0.8307692307692308,0.841025641025641,0.8461538461538461,0.8512820512820513,0.8461538461538461,0.8461538461538461,0.8307692307692308
2073,6,0.738255033557047,0.6711409395973155,0.6912751677852349,0.6442953020134228,0.7181208053691275,0.697986577181208,0.697986577181208,0.6845637583892618,0.6912751677852349
359959,2,0.6013513513513513,0.5743243243243243,0.581081081081081,0.5675675675675675,0.5675675675675675,0.581081081081081,0.5608108108108109,0.5743243243243243,0.581081081081081
359959,1,0.6216216216216216,0.6216216216216216,0.6418918918918919,0.5945945945945946,0.6283783783783784,0.6148648648648649,0.6418918918918919,0.6216216216216216,0.6351351351351351
168784,2,0.841025641025641,0.841025641025641,0.841025641025641,0.8358974358974359,0.8307692307692308,0.8461538461538461,0.841025641025641,0.8358974358974359,0.841025641025641
359959,6,0.6081081081081081,0.581081081081081,0.5472972972972973,0.5743243243243243,0.581081081081081,0.5743243243243243,0.5540540540540541,0.5878378378378378,0.5608108108108109
2073,3,0.7315436241610739,0.7181208053691275,0.7181208053691275,0.697986577181208,0.7046979865771812,0.7248322147651006,0.7046979865771812,0.7181208053691275,0.7248322147651006
2073,7,0.738255033557047,0.7046979865771812,0.6778523489932886,0.7181208053691275,0.697986577181208,0.7046979865771812,0.6845637583892618,0.7114093959731543,0.6778523489932886
2073,2,0.7248322147651006,0.7114093959731543,0.6711409395973155,0.7046979865771812,0.697986577181208,0.697986577181208,0.6912751677852349,0.7046979865771812,0.6845637583892618
359954,9,0.7162162162162162,0.6351351351351351,0.6621621621621622,0.6351351351351351,0.6486486486486487,0.6621621621621622,0.6621621621621622,0.6486486486486487,0.6621621621621622
168784,5,0.841025641025641,0.8153846153846154,0.8307692307692308,0.8256410256410256,0.8307692307692308,0.8358974358974359,0.8256410256410256,0.8153846153846154,0.8256410256410256
359959,14,0.6216216216216216,0.6081081081081081,0.6081081081081081,0.6013513513513513,0.6013513513513513,0.6148648648648649,0.6216216216216216,0.6148648648648649,0.6081081081081081
190146,2,0.8941176470588236,0.8823529411764706,0.8941176470588236,0.8941176470588236,0.9058823529411764,0.8823529411764706,0.8823529411764706,0.8705882352941177,0.8941176470588236
359959,3,0.6148648648648649,0.5743243243243243,0.5945945945945946,0.5743243243243243,0.5743243243243243,0.5743243243243243,0.5945945945945946,0.5743243243243243,0.5945945945945946
359954,5,0.7162162162162162,0.6621621621621622,0.6756756756756757,0.6486486486486487,0.6756756756756757,0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6756756756756757
168784,11,0.8358974358974359,0.8205128205128205,0.8256410256410256,0.8256410256410256,0.8256410256410256,0.8307692307692308,0.8205128205128205,0.8205128205128205,0.8307692307692308
168784,12,0.8512820512820513,0.8256410256410256,0.8307692307692308,0.8153846153846154,0.8153846153846154,0.8307692307692308,0.8307692307692308,0.8307692307692308,0.8307692307692308
168784,6,0.8512820512820513,0.841025641025641,0.8307692307692308,0.8307692307692308,0.8358974358974359,0.8512820512820513,0.8358974358974359,0.841025641025641,0.8358974358974359
2073,11,0.7248322147651006,0.7181208053691275,0.7114093959731543,0.7181208053691275,0.7315436241610739,0.7248322147651006,0.7181208053691275,0.7248322147651006,0.7181208053691275
359954,12,0.7027027027027027,0.6621621621621622,0.6756756756756757,0.6351351351351351,0.6486486486486487,0.6351351351351351,0.6891891891891891,0.6621621621621622,0.6756756756756757
359954,10,0.6891891891891891,0.6756756756756757,0.6891891891891891,0.6891891891891891,0.6756756756756757,0.6756756756756757,0.6891891891891891,0.6756756756756757,0.6891891891891891
359959,5,0.6081081081081081,0.5743243243243243,0.6013513513513513,0.5743243243243243,0.5743243243243243,0.5743243243243243,0.5608108108108109,0.5743243243243243,0.6013513513513513
359954,0,0.7027027027027027,0.6621621621621622,0.6621621621621622,0.6756756756756757,0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6621621621621622
359954,1,0.7162162162162162,0.6621621621621622,0.6756756756756757,0.6486486486486487,0.6486486486486487,0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6756756756756757
168784,13,0.8512820512820513,0.8358974358974359,0.8307692307692308,0.8358974358974359,0.8358974358974359,0.8358974358974359,0.8307692307692308,0.8358974358974359,0.8307692307692308
168784,0,0.8358974358974359,0.841025641025641,0.841025641025641,0.8358974358974359,0.8461538461538461,0.841025641025641,0.8358974358974359,0.8461538461538461,0.841025641025641
359954,3,0.7162162162162162,0.6621621621621622,0.6756756756756757,0.6756756756756757,0.6621621621621622,0.6756756756756757,0.6621621621621622,0.6621621621621622,0.6756756756756757
2073,4,0.7114093959731543,0.7114093959731543,0.7114093959731543,0.7046979865771812,0.697986577181208,0.7046979865771812,0.6778523489932886,0.7114093959731543,0.7114093959731543
2073,0,0.7315436241610739,0.6912751677852349,0.7046979865771812,0.697986577181208,0.697986577181208,0.697986577181208,0.7181208053691275,0.6912751677852349,0.7046979865771812
2073,1,0.7114093959731543,0.7046979865771812,0.6912751677852349,0.6577181208053692,0.6912751677852349,0.7046979865771812,0.6912751677852349,0.7114093959731543,0.7046979865771812
190146,4,0.8941176470588236,0.8823529411764706,0.8705882352941177,0.8823529411764706,0.8588235294117647,0.8705882352941177,0.8705882352941177,0.8823529411764706,0.8705882352941177
190146,6,0.9294117647058824,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8705882352941177,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706
359959,9,0.6148648648648649,0.6081081081081081,0.6148648648648649,0.5945945945945946,0.6081081081081081,0.6283783783783784,0.6081081081081081,0.6081081081081081,0.6148648648648649
2073,12,0.7046979865771812,0.6442953020134228,0.697986577181208,0.6442953020134228,0.6510067114093959,0.6510067114093959,0.6778523489932886,0.6442953020134228,0.697986577181208
359954,13,0.6756756756756757,0.6486486486486487,0.6486486486486487,0.6486486486486487,0.6486486486486487,0.6351351351351351,0.6351351351351351,0.6486486486486487,0.6486486486486487
359959,4,0.6013513513513513,0.5743243243243243,0.5945945945945946,0.5878378378378378,0.6013513513513513,0.5743243243243243,0.5945945945945946,0.5743243243243243,0.6013513513513513
168784,7,0.841025641025641,0.8358974358974359,0.8307692307692308,0.8358974358974359,0.8358974358974359,0.8307692307692308,0.8256410256410256,0.8358974358974359,0.8307692307692308
359959,11,0.6013513513513513,0.5878378378378378,0.5878378378378378,0.5878378378378378,0.5878378378378378,0.5945945945945946,0.5608108108108109,0.5878378378378378,0.581081081081081
359954,14,0.7162162162162162,0.6621621621621622,0.6756756756756757,0.6891891891891891,0.6756756756756757,0.6621621621621622,0.6756756756756757,0.6621621621621622,0.6756756756756757
359959,7,0.6013513513513513,0.6283783783783784,0.6013513513513513,0.6148648648648649,0.6216216216216216,0.6351351351351351,0.6013513513513513,0.6148648648648649,0.6148648648648649
359954,4,0.7027027027027027,0.6216216216216216,0.6216216216216216,0.6216216216216216,0.6351351351351351,0.6216216216216216,0.6216216216216216,0.6216216216216216,0.6216216216216216
190146,7,0.8823529411764706,0.8352941176470589,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8705882352941177,0.8823529411764706,0.8352941176470589,0.8823529411764706
359954,11,0.7027027027027027,0.7162162162162162,0.7162162162162162,0.6891891891891891,0.6891891891891891,0.7162162162162162,0.7027027027027027,0.7162162162162162,0.7162162162162162
190146,14,0.8823529411764706,0.8588235294117647,0.8470588235294118,0.8941176470588236,0.8823529411764706,0.8588235294117647,0.8588235294117647,0.8588235294117647,0.8470588235294118
190146,0,0.8823529411764706,0.8588235294117647,0.8588235294117647,0.8705882352941177,0.8705882352941177,0.8470588235294118,0.8470588235294118,0.8588235294117647,0.8588235294117647
190146,11,0.8941176470588236,0.8823529411764706,0.8823529411764706,0.8705882352941177,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8705882352941177,0.8823529411764706
2073,13,0.7181208053691275,0.7046979865771812,0.6845637583892618,0.697986577181208,0.7046979865771812,0.7114093959731543,0.6845637583892618,0.7046979865771812,0.697986577181208
168784,14,0.841025641025641,0.8051282051282052,0.8205128205128205,0.8153846153846154,0.8153846153846154,0.7897435897435897,0.8102564102564103,0.8102564102564103,0.8205128205128205
168784,4,0.8358974358974359,0.8153846153846154,0.8205128205128205,0.8051282051282052,0.7948717948717948,0.8102564102564103,0.8102564102564103,0.8153846153846154,0.8205128205128205
359959,0,0.6216216216216216,0.6081081081081081,0.6351351351351351,0.6013513513513513,0.6148648648648649,0.6148648648648649,0.6283783783783784,0.6013513513513513,0.6351351351351351
2073,10,0.7181208053691275,0.697986577181208,0.6778523489932886,0.6912751677852349,0.7114093959731543,0.7114093959731543,0.6845637583892618,0.7046979865771812,0.6778523489932886
190146,13,0.8705882352941177,0.8470588235294118,0.8588235294117647,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8588235294117647,0.8470588235294118,0.8705882352941177
2073,9,0.7181208053691275,0.7046979865771812,0.6912751677852349,0.6577181208053692,0.697986577181208,0.7181208053691275,0.697986577181208,0.697986577181208,0.6912751677852349
359954,7,0.7567567567567568,0.6891891891891891,0.6621621621621622,0.7432432432432432,0.6891891891891891,0.6756756756756757,0.6621621621621622,0.6891891891891891,0.6621621621621622
359959,10,0.6216216216216216,0.6013513513513513,0.581081081081081,0.6081081081081081,0.5945945945945946,0.5675675675675675,0.5540540540540541,0.6013513513513513,0.581081081081081
190146,1,0.9058823529411764,0.8352941176470589,0.8705882352941177,0.8823529411764706,0.8823529411764706,0.8705882352941177,0.8823529411764706,0.8352941176470589,0.8705882352941177
